Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments
Post_1,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346
Post_3,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223
Post_11,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242
Post_16,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702
Post_21,Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968
Post_22,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949
Post_26,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896
Post_29,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823
Post_31,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303
Post_32,Twitter,#Music,Video,USA,2342195,91944,89578,44440
Post_33,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045
Post_36,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518
Post_37,Instagram,#Music,Reel,Germany,48908,205884,37256,14618
Post_42,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999
Post_47,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686
Post_48,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546
Post_50,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997
Post_52,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605
Post_57,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452
Post_58,Twitter,#Dance,Video,Australia,197986,184395,9408,7599
Post_62,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314
Post_67,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620
Post_69,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485
Post_75,YouTube,#Gaming,Video,USA,1750105,125485,942,20317
Post_78,Twitter,#Challenge,Video,Australia,612594,132163,29340,40557
Post_79,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436
Post_82,Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899
Post_83,Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657
Post_95,TikTok,#Tech,Video,Germany,128472,444670,64311,7956
Post_97,TikTok,#Tech,Live Stream,UK,92085,176687,5641,22316
Post_99,Instagram,#Viral,Reel,Germany,965073,263310,39207,27324
Post_102,TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710
Post_105,Instagram,#Fitness,Post,Japan,13562,11483,33641,30457
Post_110,Twitter,#Dance,Video,USA,3868789,188191,4660,26605
Post_111,Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605
Post_114,YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538
Post_118,TikTok,#Dance,Video,Germany,1838563,289125,77191,27066
Post_120,TikTok,#Viral,Video,Germany,1772623,361245,30503,13260
Post_122,YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476
Post_123,TikTok,#Challenge,Video,UK,3924183,283030,30676,43977
Post_124,Instagram,#Music,Post,USA,4646060,21362,31562,19778
Post_125,YouTube,#Fitness,Video,USA,3901900,20166,30661,25363
Post_127,TikTok,#Education,Video,Germany,3859007,277223,81798,46985
Post_129,Instagram,#Comedy,Post,UK,1029488,449148,87211,35005
Post_131,TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395
Post_132,YouTube,#Education,Video,India,3487375,107303,83451,45313
Post_135,TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912
Post_138,Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597
Post_140,TikTok,#Fitness,Video,USA,1089083,150418,45387,25632
Post_141,TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117
Post_142,YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705
Post_146,Instagram,#Education,Reel,Canada,964498,194879,76029,34998
Post_150,Instagram,#Viral,Reel,UK,4103477,75909,5645,4052
Post_152,Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022
Post_160,Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611
Post_161,Twitter,#Gaming,Tweet,India,400424,56569,59897,49341
Post_163,TikTok,#Gaming,Video,Germany,102418,107650,94514,26548
Post_164,Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995
Post_165,TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497
Post_168,YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532
Post_170,Twitter,#Education,Video,India,4459268,356292,52389,33857
Post_171,Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750
Post_172,Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799
Post_175,Twitter,#Music,Tweet,USA,3674194,19972,97555,24310
Post_178,Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858
Post_182,Instagram,#Tech,Reel,UK,4003071,22251,13517,13392
Post_187,Twitter,#Gaming,Video,Australia,688077,243607,79071,12078
Post_195,YouTube,#Dance,Live Stream,UK,2809035,359231,78623,27822
Post_197,Instagram,#Fashion,Reel,India,907575,42770,5219,47956
Post_202,YouTube,#Fashion,Video,Germany,3186810,312491,66586,7390
Post_203,YouTube,#Gaming,Live Stream,Australia,810296,77866,87591,41350
Post_205,Instagram,#Viral,Post,USA,741152,226355,58251,46227
Post_206,Twitter,#Fashion,Tweet,USA,2945128,368541,66690,3800
