Platform,Hashtag,Content_Type,Impressions,Views,Likes,Shares,Comments,Engagement_Rate
TikTok,Music,Video,153973,75655,8760,2385,4208,0.2029
TikTok,Beauty,Video,178116,27357,21324,9454,6875,1.3764
TikTok,Education,Video,178751,87922,5802,4407,2529,0.1449
Twitter,Fitness,Carrousel,166543,88181,16065,4660,649,0.2424
Twitter,Gaming,Text,107985,61481,15830,4996,8138,0.4711
Facebook,Challenge,Photo,127273,88269,8573,5794,6848,0.2403
Twitter,Comedy,Photo,177736,89841,5703,1942,363,0.0891
TikTok,Challenge,Video,123673,49865,6833,4146,1980,0.2599
Twitter,Comedy,Text,113529,91716,11152,9543,3025,0.2586
Facebook,Education,Text,178009,91887,20544,289,2875,0.258
Twitter,Gaming,Video,103598,83875,7503,3632,1713,0.1532
Instagram,Fitness,Video,145777,98958,5316,2529,3854,0.1182
TikTok,Fitness,Video,108858,94415,24241,6600,8656,0.4183
TikTok,Challenge,Video,111086,90880,7201,6503,5861,0.2153
Twitter,Challenge,Photo,107706,71045,8019,2298,5767,0.2264
Instagram,Challenge,Video,63592,61260,5550,2627,1971,0.1657
Facebook,Challenge,Carrousel,144588,88701,5586,1535,2520,0.1087
Instagram,Comedy,Video,125663,64574,7916,499,5882,0.2214
Instagram,Music,Video,144584,35167,20447,11883,365,0.9297
Facebook,Tech,Video,100957,81552,6953,4313,3379,0.1796
TikTok,Tech,Video,161249,92187,10220,8893,1135,0.2196
TikTok,Education,Video,174236,99966,8010,5705,7598,0.2132
Instagram,Fitness,Video,92771,56924,7375,1553,2951,0.2087
Instagram,Comedy,Video,67405,59657,8326,4748,2126,0.2548
Twitter,Education,Video,162996,81694,10628,7068,766,0.226
Instagram,Challenge,Video,139403,91475,10280,4222,7537,0.2409
Twitter,Music,Photo,162381,97646,11058,572,9554,0.2169
Twitter,Music,Video,175029,94032,18188,122,1952,0.2155
Instagram,Education,Video,110965,64622,5480,4557,3958,0.2166
TikTok,Gaming,Video,86385,74117,6479,6041,4558,0.2304
Twitter,Comedy,Carrousel,121266,71523,8903,1526,5554,0.2235
Instagram,Fitness,Carrousel,137153,80101,7766,7372,792,0.1989
Twitter,Education,Text,106481,76320,6215,4534,1084,0.155
TikTok,Fitness,Video,98565,73897,8189,1883,2075,0.1644
TikTok,Gaming,Video,140363,73135,3853,3673,415,0.1086
Instagram,Fitness,Video,147491,96167,8736,2486,4542,0.1639
Instagram,Beauty,Video,77007,62272,6052,590,4285,0.1755
Twitter,Challenge,Text,154472,81862,8905,5119,4277,0.2236
Facebook,Gaming,Video,130022,32459,23598,4583,1608,0.9177
Twitter,Gaming,Photo,136864,72532,8662,5135,1109,0.2055
Instagram,Tech,Video,133581,15660,22017,13944,2570,2.4605
